Receptor,AverageExpression
OR51S1,1.4287246081961198
OR51T1,5.050472655446778
OR51V1,12.0540778158682
OR52A1,39.992778008580224
OR52A4,2.8233601452120465
OR52A5,56.75629186056907
OR52B2,33.69123275864459
OR52B4,7.946726290579653
OR52B6,527.7735551628543
OR52D1,316.9681110776841
OR52E2,2.4712624244174983
OR52E4,11.225890662898117
OR52E6,15.936326484037428
OR52E8,23.401631608589884
OR52H1,533.8944537196619
OR52I1,496.95513362398043
OR52I2,56.324256828384314
OR52J3,5.892623662925097
OR52K1,38.623307917763846
OR52K2,7.9498103926063965
OR52L1,14.155618422037618
OR52N1,610.6987059001926
OR52N2,33.090580753983765
OR52N4,260.64512921501506
OR52N5,149.9405312795727
OR52R1,4.169670105735112
OR52W1,167.09283623312274
OR56A1,39.45182367648134
OR56A3,13.810098727591265
OR56A4,36.501634297491
OR56A5,9.446733023105255
OR56B1,294.41754757574364
OR56B4,34.22649097240291
OR5A1,767.285271750341
OR5A2,435.8393983020321
OR5AC2,15.596895787701477
OR5AK2,7.006360459809173
OR5AN1,377.1323426528858
OR5AP2,2.782390465868683
OR5AR1,3.602727170982
OR5AS1,6.11645682556234
OR5AU1,77.55998598143084
OR5B12,25.185326485589243
OR5B17,6.778449385123949
OR5B2,31.8470211575858
OR5B21,27.502449394015613
OR5B3,7.491852558583004
OR5C1,187.73407601951385
OR5D13,3.76452644176022
OR5D14,2.400579190054919
OR5D16,2.0981536616966165
OR5D18,0.6738089053142748
OR5F1,1.351504265665503
OR5H14,35.617397707274506
OR5H15,33.09996976261053
OR5H2,4.944839022383885
OR5H6,1.523689917051801
OR5I1,1.7906775930002348
OR5J2,4.073379165697383
OR5K1,597.704707836873
OR5K2,46.024250399069814
OR5K3,5.273048649304164
OR5K4,3.720786140131323
OR5L1,4.548583496940113
OR5L2,2.344423295138145
OR5M10,39.88359132270653
OR5M11,0.3561385049859418
OR5M3,26.625152461747557
OR5M8,1.3495570330150604
OR5M9,26.978357902243545
OR5P2,451.7107182700169
OR5P3,751.5821541371525
OR5R1,1.0914578408181952
OR5T1,20.68387026262284
OR5T2,4.998262181348964
OR5T3,4.6218315649967945
OR5V1,181.73689620119714
OR5W2,2.4375473097211247
OR6A2,118.98511065429787
OR6B1,160.32939084065654
OR6B2,11.967767357695454
OR6B3,7.963872680375365
OR6C1,43.252250697145875
OR6C2,65.72734434164451
OR6C3,10.27603066742451
OR6C4,140.69624070688553
OR6C6,4.740060537947008
OR6C65,0.3784231083281692
OR6C68,2.8968840484558496
OR6C70,17.267589374836298
OR6C74,3.6364242774147995
OR6C75,34.96640417848521
OR6C76,25.245571288988994
OR6F1,134.3156746336595
OR6K2,1.7998767570341994
OR6K3,12.50440773105906
OR6K6,5.295662210353241
OR6K6,4.100048774284627
OR6M1,3.767043420631339
OR6N1,86.1485363160476
OR6N2,35.46983906370847
OR6P1,28.724489997786183
OR6Q1,23.580508405243258
OR6S1,5.3760655669134385
OR6T1,22.591853478539022
OR6V1,27.399479052235204
OR6V1,40.827812759104845
OR6X1,4.384043626740992
OR6Y1,32.059208490470695
OR7A10,7.938786568920569
OR7A17,86.60269869499803
OR7A5,104.99075937554129
OR7C1,1108.415481406871
OR7C2,3.390758944023506
OR7D2,68.40878567069609
OR7D4,74.48652040281716
OR7E24,125.26380998850946
OR7G1,5.004979676272702
OR7G2,27.862795971626813
OR8A1,15.606926272232117
OR8B12,15.823344493839224
OR8B3;OR8B2,37.467581942860164
OR8B4,6.021332052705525
OR8B8,36.764414661533586
OR8D1,558.4918770913793
OR8D2,4.8152809676995
OR8D4,18.995671533721556
OR8G1,107.57185769443751
OR8G2,6.983079513705379
OR8G5,47.455674555253196
OR8H1,21.579689241057988
OR8H2,17.804479107121697
OR8H3,2.319981359230624
OR8I2,0.845173134853739
OR8J1,8.333592539925949
OR8J3,78.20124475708184
OR8K1,9.588780292346671
OR8K3,66.25440857275
OR8K5,3.860214062871834
OR8S1,0.10536207881657464
OR8U1;OR8U9,31.716201696655176
OR9A2,609.1758982442099
OR9A4,60.84616319984361
OR9G4,945.5473795900647
OR9G9,12.842848894086472
OR9I1,186.9253574469182
OR9K2,42.10840615586388
OR9Q1,33.98712019379621
OR9Q2,48.41642664458202
